producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,300.00,348.00,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,600.00,696.00,-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,108.00,125.28,8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,276.00,320.16,8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,411.00,476.76,8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,432.00,501.12,8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,1103.00,1279.48,8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,1644.00,1907.04,8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,741.00,859.56,8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,1891.00,2193.56,-,-,-,-,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,2818.00,3268.88,8670,16908.00,19613.28,8677,33816.00,39226.56
30 Avisos Simples,30,0,0,8858,1759.00,2040.44,8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,3743.00,4341.88,-,-,-,-,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,5577.00,6469.32,8672,33462.00,38815.92,8679,66924.00,77631.84
50 Avisos Simples Combo,50,0,0,8643,2932.00,3401.12,8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,7486.00,8683.76,20224,44916.00,52102.56,20228,89832.00,104205.12
50 Avisos Superdestacados Combo,0,0,50,20221,11153.00,12937.48,20225,66918.00,77624.88,20229,133836.00,155249.76
80 Avisos Simples Combo,80,0,0,8651,3703.00,4295.48,8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,4629.00,5369.64,8612,27774.00,32217.84,8613,55548.00,64435.68
100 Avisos Destacados Combo,0,100,0,20222,11820.00,13711.20,20226,70920.00,82267.20,20230,141840.00,164534.40
100 Avisos Superdestacados Combo,0,0,100,20223,17610.00,20427.60,20227,105660.00,122565.60,20231,211320.00,245131.20
200 Avisos Simples Combo,200,0,0,8619,7715.00,8949.40,8616,46290.00,53696.40,8617,92580.00,107392.80
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,13887.00,16108.92,8644,83322.00,96653.52,8645,166644.00,193307.04
Pack 10 Combo,5,5,0,8680,1316.00,1526.56,8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,1686.00,1955.76,8709,-,-,8723,-,-
Pack 30 Combo,20,10,0,8682,2670.00,3097.20,8710,-,-,8724,-,-
Pack 50 Combo,35,15,0,8683,4298.00,4985.68,8711,-,-,8725,-,-
Pack 80 Combo,60,15,5,8684,5431.00,6299.96,8712,32586.00,37799.76,8726,65172.00,75599.52
Pack 100 Combo,75,20,5,8685,6716.00,7790.56,8713,40296.00,46743.36,8727,80592.00,93486.72
Pack 200 Combo,165,25,10,8686,10295.00,11942.20,8714,61770.00,71653.20,8728,123540.00,143306.40
Pack 350 Combo,290,42,18,8687,17247.00,20006.52,8715,103482.00,120039.12,8729,206964.00,240078.24
Pack 500 Combo,425,50,25,8688,17991.00,20869.56,8716,107946.00,125217.36,8730,215892.00,250434.72
Pack 700 Combo,610,63,27,8689,Baja,Baja,8717,Baja,Baja,8731,Baja,Baja
Pack 1000 Combo,870,90,40,8690,Baja,Baja,8718,Baja,Baja,8732,Baja,Baja
Pack 10 Premium,0,8,2,8691,2076.00,2408.16,8719,12456.00,14448.96,8733,24912.00,28897.92
Pack 25 Premium,0,18,7,8692,4256.00,4936.96,8720,25536.00,29621.76,8734,51072.00,59243.52
Pack 50 Premium,0,38,12,8693,8366.00,9704.56,8721,50196.00,58227.36,8735,100392.00,116454.72
Alquiler 10 Simples Suscrip,10,0,0,10695,952.00,1104.32,-,-,-,-,-,-
Alquiler 30 Simples Suscrip,30,0,0,10696,1617.00,1875.72,-,-,-,-,-,-
Alquiler 50 Simples Suscrip,50,0,0,10697,2030.00,2354.80,-,-,-,-,-,-
Alquiler 100 Simples Suscrip,100,0,0,10698,3087.00,3580.92,-,-,-,-,-,-
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,680.00,788.80,-,-,-,-,-,-
