producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,550.00,638.00,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,1100.00,1276.00,-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,925.00,1073.00,8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,2097.00,2432.52,8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,2891.00,3353.56,8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,1683.00,1952.28,8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,2723.00,3158.68,8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,5445.00,6316.20,8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,2500.00,2900.00,8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,5005.00,5805.80,8666,-,-,8673,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,10055.00,11663.80,8670,60327.00,69979.32,8677,120655.00,139959.80
30 Avisos Simples Combo,30,0,0,8858,4235.00,4912.60,8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,10450.00,12122.00,8667,-,-,8674,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,20935.00,24284.60,8672,125608.00,145705.28,8679,251216.00,291410.56
50 Avisos Simples Combo,50,0,0,8643,5321.00,6172.36,8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,15459.00,17932.44,20224,92756.00,107596.96,20228,185513.00,215195.08
50 Avisos Superdestacados Combo,0,0,50,20221,27535.00,31940.60,20225,165211.00,191644.76,20229,330422.00,383289.52
80 Avisos Simples Combo,80,0,0,8651,6872.00,7971.52,8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,8085.00,9378.60,8612,48510.00,56271.60,8613,97020.00,112543.20
100 Avisos Destacados Combo,0,100,0,20222,23769.00,27572.04,20226,142613.00,165431.08,20230,285226.00,330862.16
100 Avisos Superdestacados Combo,0,0,100,20223,36561.00,42410.76,20227,219364.00,254462.24,20231,438728.00,508924.48
200 Avisos Simples Combo,200,0,0,8619,13475.00,15631.00,8616,80850.00,93786.00,8617,161700.00,187572.00
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,32370.00,37549.20,8644,194218.00,225292.88,8645,388436.00,450585.76
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,1716.00,1990.56,,,,,,
Pack 10 Combo,5,5,0,8680,3163.00,3669.08,8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,3756.00,4356.96,8709,-,-,8723,-,-
Pack 30 Combo,20,10,0,8682,5237.00,6074.92,8710,-,-,8724,-,-
Pack 50 Combo,35,15,0,8683,6967.00,8081.72,8711,-,-,8725,-,-
Pack 80 Combo,60,15,5,8684,12216.00,14170.56,8712,73293.00,85019.88,8726,146586.00,170039.76
Pack 100 Combo,75,20,5,8685,14231.00,16507.96,8713,85388.00,99050.08,8727,170775.00,198099.00
Pack 200 Combo,165,25,10,8686,23106.00,26802.96,8714,138633.00,160814.28,8728,277266.00,321628.56
Pack 350 Combo,290,42,18,8687,37873.00,43932.68,8715,227238.00,263596.08,8729,454476.00,527192.16
Pack 500 Combo,425,50,25,8688,43234.00,50151.44,8716,259406.00,300910.96,8730,518813.00,601823.08
Pack 700 Combo,610,63,27,8689,Baja,Baja,8717,Baja,Baja,8731,Baja,Baja
Pack 1000 Combo,870,90,40,8690,Baja,Baja,8718,Baja,Baja,8732,Baja,Baja
Pack 10 Premium,0,8,2,8691,6679.00,7747.64,8719,40075.00,46487.00,8733,80150.00,92974.00
Pack 25 Premium,0,18,7,8692,12158.00,14103.28,8720,72950.00,84622.00,8734,145900.00,169244.00
Pack 50 Premium,0,38,12,8693,21025.00,24389.00,8721,126149.00,146332.84,8735,252298.00,292665.68
Alquiler 10 Simples Suscrip,10,0,0,10695,1750.00,2030.00,-,-,-,-,-,-
Alquiler 30 Simples Suscrip,30,0,0,10696,2968.00,3442.88,-,-,-,-,-,-
Alquiler 50 Simples Suscrip,50,0,0,10697,3724.00,4319.84,-,-,-,-,-,-
Alquiler 100 Simples Suscrip,100,0,0,10698,5663.00,6569.08,-,-,-,-,-,-
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,1250.00,1450.00,-,-,-,-,-,-
