producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,270,313.2,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,540,626.4,-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,454.14,526.8,8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,1029.24,1193.92,8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,1419.12,1646.18,8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,826.2,958.39,8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,1336.5,1550.34,8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,2673,3100.68,8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,1227.15,1423.49,8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,2457,2850.12,-,-,-,-,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,4935.87,5725.61,8670,29615.22,34353.66,8677,59230.44,68707.31
30 Avisos Simples,30,0,0,8858,2194.5,2545.62,8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,5415,6281.4,-,-,-,-,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,10847.96,12583.63,8672,65087.73,75501.77,8679,130175.46,151003.53
50 Avisos Simples Combo,50,0,0,8643,2902.5,3366.9,8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,8432.4,9781.58,20224,50594.4,58689.5,20228,101188.8,117379.01
50 Avisos Superdestacados Combo,0,0,50,20221,15019,17422.27,20225,90115.2,104533.63,20229,180230.4,209067.26
80 Avisos Simples Combo,80,0,0,8651,3748.5,4348.26,8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,4630.5,5371.38,8612,27783,32228.28,8613,55566,64456.56
100 Avisos Destacados Combo,0,100,0,20222,13613,15791.13,20226,81678.24,94746.76,20230,163356.48,189493.52
100 Avisos Superdestacados Combo,0,0,100,20223,20939,24289.6,20227,125635.86,145737.6,20231,251271.72,291475.2
200 Avisos Simples Combo,200,0,0,8619,8085,9378.6,8616,48510,56271.6,8617,97020,112543.2
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,19421.82,22529.31,8644,116530.92,135175.87,8645,233061.84,270351.73
Pack 10 Combo,5,5,0,8680,1552.5,1800.9,8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,1843.83,2138.84,8709,-,-,8723,-,-
Pack 30 Combo,20,10,0,8682,2713.77,3147.97,8710,-,-,8724,-,-
Pack 50 Combo,35,15,0,8683,3800.4,4408.46,8711,-,-,8725,-,-
Pack 80 Combo,60,15,5,8684,6663,7729.08,8712,39978,46374.48,8726,79956,92748.96
Pack 100 Combo,75,20,5,8685,7762.5,9004.5,8713,46575,54027,8727,93150,108054
Pack 200 Combo,165,25,10,8686,13863.3,16081.43,8714,83179.8,96488.57,8728,166359.6,192977.14
Pack 350 Combo,290,42,18,8687,22723.8,26359.61,8715,136342.8,158157.65,8729,272685.6,316315.3
Pack 500 Combo,425,50,25,8688,25940.64,30091.14,8716,155643.84,180546.85,8730,311287.68,361093.71
Pack 700 Combo,610,63,27,8689,-,-,8717,-,-,8731,-,-
